path	type	category	risk	retention_policy	size_bytes	age_days	note
backups/faz3_10_2d_erp_runtime_fiscal_guard_muhur_20260426_063854	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_2d_erp_runtime_fiscal_guard_muhur_20260426_063854/docs_erp_before_fiscalguard_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	1018	3	backup_retention_review_no_delete
backups/faz3_10_2d_erp_runtime_fiscal_guard_muhur_20260426_063854/fiscalguard_before_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	4520	3	backup_retention_review_no_delete
backups/faz3_10_3a_erp_runtime_document_number_allocator_contract_20260426_063956	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_3b_erp_runtime_document_number_allocator_default_impl_20260426_064049	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_3b_erp_runtime_document_number_allocator_default_impl_20260426_064049/docnumber_before_default_impl.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3022	3	backup_retention_review_no_delete
backups/faz3_10_3c_erp_runtime_docnumber_postgres_provider_store_20260426_064207	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_3c_erp_runtime_docnumber_postgres_provider_store_20260426_064207/docnumber_before_postgres_provider_store.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	4025	3	db_backup_or_volume_review_no_restore
backups/faz3_10_3d_erp_runtime_docnumber_muhur_20260426_064310	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_3d_erp_runtime_docnumber_muhur_20260426_064310/docnumber_before_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	6743	3	backup_retention_review_no_delete
backups/faz3_10_3d_erp_runtime_docnumber_muhur_20260426_064310/docs_erp_before_docnumber_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	1329	3	backup_retention_review_no_delete
backups/faz3_10_4a_erp_runtime_journal_posting_orchestrator_contract_20260426_064435	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_4b_erp_runtime_journal_posting_orchestrator_default_impl_20260426_064533	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_4b_erp_runtime_journal_posting_orchestrator_default_impl_20260426_064533/journalpost_before_default_impl.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	3046	3	backup_retention_review_no_delete
backups/faz3_10_4c_erp_runtime_journal_posting_postgres_store_20260426_064921	dir	db_backup_candidate	HIGH	review_db_dump	-1	3	db_backup_or_volume_review_no_restore
backups/faz3_10_4c_erp_runtime_journal_posting_postgres_store_20260426_064921/journalpost_before_postgres_store.tar.gz	file	db_backup_candidate	HIGH	review_db_dump	4362	3	db_backup_or_volume_review_no_restore
backups/faz3_10_4d_erp_runtime_journalpost_muhur_20260426_065006	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_4d_erp_runtime_journalpost_muhur_20260426_065006/docs_erp_before_journalpost_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	1682	3	backup_retention_review_no_delete
backups/faz3_10_4d_erp_runtime_journalpost_muhur_20260426_065006/journalpost_before_muhur.tar.gz	file	backup_candidate	MEDIUM	review_old_backup	7650	3	backup_retention_review_no_delete
backups/faz3_10_5a_erp_runtime_ledger_posting_orchestrator_contract_20260426_065124	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
backups/faz3_10_5b_erp_runtime_ledger_posting_orchestrator_default_impl_20260426_065221	dir	backup_candidate	MEDIUM	review_old_backup	-1	3	backup_retention_review_no_delete
