path	type	category	risk	size_bytes	note
docs/phase4/15_4_payment_reconciliation_reporting_mart_standard.md	file	generated_report	LOW	1789	phase4_evidence_keep
docs/phase4/15_4_readmodel_contract_inventory.tsv	file	generated_report	LOW	1531	phase4_evidence_keep
docs/phase4/15_4_readmodel_contract_query_evidence_report.md	file	generated_report	LOW	2362	phase4_evidence_keep
docs/phase4/15_4_readmodel_contract_query_evidence_standard.md	file	generated_report	LOW	1199	phase4_evidence_keep
docs/phase4/15_5_search_index_projection_tables_inventory.tsv	file	generated_report	LOW	720	phase4_evidence_keep
docs/phase4/15_5_search_index_projection_tables_matrix.tsv	file	generated_report	LOW	734	phase4_evidence_keep
docs/phase4/15_5_search_index_projection_tables_report.md	file	generated_report	LOW	4859	phase4_evidence_keep
docs/phase4/15_5_search_index_projection_tables_standard.md	file	generated_report	LOW	1776	phase4_evidence_keep
docs/phase4/15_6_materialized_cache_projection_candidate_execution.sh	file	generated_report	LOW	920	phase4_evidence_keep
docs/phase4/15_6_materialized_cache_projection_manifest.tsv	file	generated_report	LOW	3185	phase4_evidence_keep
docs/phase4/15_6_materialized_cache_projection_matrix.tsv	file	generated_report	LOW	754	phase4_evidence_keep
docs/phase4/15_6_materialized_cache_projection_report.md	file	generated_report	LOW	7603	phase4_evidence_keep
docs/phase4/15_6_materialized_cache_projection_standard.md	file	generated_report	LOW	1676	phase4_evidence_keep
docs/phase4/15_7_readmodel_reporting_tests_inventory.tsv	file	generated_report	LOW	651	phase4_evidence_keep
docs/phase4/15_7_readmodel_reporting_tests_matrix.tsv	file	generated_report	LOW	678	phase4_evidence_keep
docs/phase4/15_7_readmodel_reporting_tests_report.md	file	generated_report	LOW	4404	phase4_evidence_keep
docs/phase4/15_7_readmodel_reporting_tests_standard.md	file	generated_report	LOW	1219	phase4_evidence_keep
docs/phase4/15_readmodel_final_closure_report.md	file	generated_report	LOW	571	phase4_evidence_keep
docs/phase4/15_readmodel_reporting_final_closure_report.md	file	generated_report	LOW	968	phase4_evidence_keep
docs/phase4/16_1_reporting_query_contract_report.md	file	generated_report	LOW	991	phase4_evidence_keep
